player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Borja Iglesias,Spain,Spain,FW,33-158,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Olmo,Spain,Spain,MF,28-048,1998,Barcelona,2,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,0.0,1.29,2.0,0.0,0.0,2.57,0.0,0.0,,35.0,38.9,60.0,0,1,10.0,0,2.0,4.0,0.0,4.0,5.14,5.14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
David Raya,Spain,Spain,GK,30-282,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric García,Spain,Spain,"DF,MF",25-166,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabián Ruiz Peña,Spain,Spain,MF,30-082,1996,PSG,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,4.95,0.99,0.0,0.0,46.0,50.6,70.0,0,1,21.0,0,2.0,0.0,0.0,0.0,0.0,-4.04,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ferrán Torres,Spain,Spain,FW,26-115,2000,Barcelona,2,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,4.32,1.44,0.0,0.0,63.0,69.4,80.0,0,1,45.0,0,2.0,1.0,0.0,1.0,0.72,-4.19,0.0,3.0,0.0,1.0,4.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Gavi,Spain,Spain,FW,21-323,2004,Barcelona,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.29,0.0,0.0,,70.0,38.9,70.0,0,0,,1,1.0,0.0,0.0,0.0,0.0,-3.27,0.0,2.0,0.0,0.0,2.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Joan García,Spain,Spain,GK,25-051,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamine Yamal,Spain,Spain,FW,18-346,2007,Barcelona,2,1,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.38,0.0,1.38,1.38,1.38,7.0,2.0,28.6,9.69,2.77,0.14,0.5,33.0,36.1,45.0,0,1,20.0,0,2.0,3.0,0.0,3.0,4.15,3.37,0.0,1.0,0.0,0.0,13.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marc Cucurella,Spain,Spain,DF,27-337,1998,Chelsea,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.5,1.0,0.0,0.0,90.0,100.0,90.0,2,0,,0,2.0,4.0,0.0,4.0,2.0,,0.0,3.0,0.0,1.0,6.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
